BEZEICHNUNG_OFFIZIELL;geopos
ePLight - Kiosques;
Dornach Oepfelsee;
Waldhof Anemonenweg 1;
Wangen bei Olten mobile Equipe;
Basel Bad Bf 97;
Staufen (Brsg) Süd, Bahnhof;
Schwyz AAGS;
Rheinfelden (D),Realschule;
Passepartout Zürich          O;
Regensdorf-Watt 95;
Lörrach, Obertüllingen;
Vogogna, ponte Masone;
Rheinfelden Zollgarten;
Bois Noir (B);
Bern Wylerfeld 98;
LFüB (fiktiv);
UNO Linie 600, km 131.016;
Weid (B);
Druogno, bar Solaro;
Kloten mobile Equipe;
Bern-Travi-TUP               O;
Singen (Htw) mobile Equipe;
Langnau BLS;
Berg (Bayern) (See);
Bus AVG;
Zürich HB Nordwesttrakt;
bta first travel Basel;
Chur 94;
Arbon, Romanshornerstrasse AO;
ELAZ BLS-ths;
Villmergen, Feldblumenweg PAG;
Testclient B2C;
Ziegelbrücke 97;
Saint-Genis-Pouilly, ZA Allon;
Einsiedeln 94;
Grenchen BGU;
Limite coordonnées GE;
Traffiume;
St. Gallen Haggen 97;
Bad Camberg Bahnhofstrasse;
Arth-Goldau 96;
Haltingen, Abzweigung Rebg;
S. Zeno squadra mobile;
Herrlingen, Bahnhof;
Regensdorf-Watt mobile Equipe;
Spiez ZPG BLS;
Bern T-Systems-TZCG 1.3;
Heerbrugg 96;
Innsbruck ZPG SBB;
Bauma 95;
Weil am Rhein 94;
Eisenbach Taunusblick;
Hohenfels (D);
Gersbach, Post;
Sonceboz-Sombeval 95;
Praz Lebaz (B);
DOMO (fiktiv);
Biasca, Centro/Borgo ABl;
Baden 96;
TDCA (fiktiv);
Gaissau;
Bad Bellingen, Römerstrasse;
München Flughafen Terminal A/B;
Bus AAGU;
Centovalli              TCV;
Morges 96;
Duiamen, molini;
Intra, piazza Cavour;
Domodossola 97;
Grenzach, Bettingerstrasse (D;
rts/fts Zollikofen G;
Galmiz Unterwerk;
Hotelplan Morges Grand Rue;
Morbio Inferiore, Breggia AMS;
Miasino;
Bern I-BF CIS-BUS Betrieb;
Camboline, seppiana;
Oberwinterthur 98;
Bahn                    TCV;
Bagnella, centro sportivo;
Heerbrugg mobile Equipe;
Bahn MBC;
Zürich HB Change;
Kirchweyhe mobile Equipe;
UNO Linie 430, km 13.6;
Bahn ASM-bti;
Bus ZVB;
Chiasso 98;
Basel SBB SA Lok-Waschanlage G;
Voyages et Culture Lausanne  O;
Hammerstein;
Oberried am Brienzersee ZB;
Biel/Bienne 97;
Salzburg Hbf, Lastenstrasse;
Zermatt Terminal;
Cava Tigozzi squadra mobile;
Stresa, staz.ferroviaria;
Inzlingen, Abzweigung Au;
Fahrnau, Werderstrasse;
Schmitten FR, Schlossmatte PA;
Deutwang (D);
Ötlingen, Dorfstrasse;
Singen Unterwerk (DB);
UNO Linie 254, km 14.76;
Bus TPN;
Moudon 98;
Frick Nord;
Kleinkems, Rathaus;
Jaunpass                TCV;
Bahn BDWM-bd;
Rheinfelden (D),Hallenbad;
Rümlang mobile Equipe G-SR;
Baden Compaq Safe 2;
Royal Wallisellen;
Hinwil 98;
UNO Linie 330, km 10.6;
Verbania, via rossa;
Lenzburg 98;
Gümligen BLS;
Endersbach, Bahnhof;
Saignelégier, La Neuvevie CJ;
Ariane Crans-sur-Sierre      O;
Erstfeld 95;
Basel SBB 97;
Crystal Holidays Ireland     O;
Weilburg Shell-Tankstelle;
Bellinzona, CIR;
Villars-Ste-Croix,En CoulayeT;
Schopfheim, Wiechs Kreispflege;
Inexco Genève;
Alle Ziele Stadt Zug (Z610);
CBV (fiktiv);
Herzogenmühle (B);
Fond.Genève Tourisme & Congrès;
ZVV-Webshop;
Morvillars (FQ);
Lörrach, Wintersbuckstrasse;
Völklingen mobile Equipe;
Interlaken Ost ZPG SBB;
Bern Test Change TUE 3;
Schopfheim, Hohe-Flum-Str.;
Laufen 98;
Winterthur 96;
Lustenau;
Weil am Rhein 98;
You Travel Helsinki;
Weitenau, Fahrnbuck;
Malsburg-Marzell;
Sierre/Siders 97;
Martigny TMR-mo;
Chur 97;
Interlaken Ost JB;
Rossberg (B);
Bayerisch Gmain Ort;
Block 45 (B);
Honau (B);
Intra, piazza don minzoni;
Weiler (D);
Biasca 97;
Le Locle 98;
Bus VBH;
Tunnel de Villangeaux;
Aitern Obermulten;
Brugg AG ELT-Gebäude;
Landsweiler-Reden mob Equipe;
Lausanne OT Ct. Vaud;
ECORT Testfiliale 3 Galileo D;
AVA_Chauffeur_wm;
Lörrach, Engelplatz;
Münster Obergasse D. Haus;
Payerne 96;
Erbach Schule/Horstweg;
Lenzburg RBL;
Mendrisio, Via Motta AMSA;
ECORT Test 8 Galileo D;
Schiff;
Brunnen 97;
Hégenheim, Centre;
Hochdorf 98;
Rorschach Unterhalt P;
Etzwilen THURBO;
St.Gallen St.Fiden mobile Equi;
RBL Killwangen Funkkabine;
Yverdon-les-Bains 95;
Bättwil-Flüh;
Hildisrieden, Post PAG;
Bann (B);
Brunnen 98;
St. Gallen (Df);
Vevey 96;
Villadossola, via rovaccio;
Rückerfeld (B);
Bazenheid mobile Equipe;
Clavoz (B);
Dingelsdorf (D);
Bern P-IT-SCP EPR 1;
Delémont équipe mobile Cargo;
Ludwigshafen mobile Equipe;
fairtiq RhB;
Bern-Travi-IT;
Thun 95;
Oberbuchsiten mobile Equipe;
Intra, renco;
Rosenau, Rue de St-Louis;
Villadossola, villaggio Sisma;
Brombach, Grossmannstrasse;
Antrona Piana;
Olten Dornacherstr 7;
Waldshut, Altersheim;
Schopfheim, Berufsakademie;
Hasenacker (B);
Bern MCS IT DaX E;
Blotzheim, Rue des Vignes;
Volkertshausen (D);
Schliengen, Schallsi. Kreuzun;
Zürich Flughafen, OPC PAG;
Bucktentunnel SBB;
Renens EPFL TL;
Chiasso SA impianto lavaggio G;
Omegna, Cireggio;
Bern-TUP-BATS I;
Locasca, Madonna;
Grenchen Nord SBB;
Niedertegernau;
Croppo, trontano;
Domodossola, ospedale;
Zürich Wipkingen Kabelstützpkt;
Kerzers 96;
Swiss Express Basel;
Gladbeck West mobile Equipe;
Meyriez, Hôpital PAG;
Romont 97;
Joncherey (FQ);
Rommelshausen, Bahnhof;
Sierre/Siders équipe mobile;
ECORT Testfiliale 8 Amadeus D;
Erstfeld Nord;
Output Manager Test 5;
Bern Webshop B2C Test 2;
Zürich Albisriederplatz VBZ;
Utzenfeld, Engel;
Bus PAG/RA;
Stahringen (D);
Innsbruck Bürgerstrasse;
Venezia S. Lucia FS 94;
Herten, Markhof;
Lörrach, Stetten Struve Platz;
Bauma 98;
Eimeldingen;
Hamburg Jungfernstieg (U);
Campino;
Deisendorf (D);
Binzen;
Bern PV/Geldwechsel;
Lehmann Bern;
Cavaria-Oggiona-Ierago (FQ);
Rüti ZH Rekrutierungszentrum;
Bahn FB;
Montecrestese;
Visp Lonza;
Bartenheim, Rue de Kembs;
Heerbrugg 97;
Sonceboz-Sombeval 96;
Ludwigshafen Mundenheim Nord 1;
Beuren am Ried (D);
Premeno;
Lugano-Vedeggio squadra mobile;
Cosa Zürich                  O;
Girod Viaggi Domodossola     O;
Mittelmuhen oder Obermuhen;
Devero;
Giubiasco 94;
Faido (c bin);
Tannenkirch, Kinderschule;
Altstätten SG 98;
Heidelberg Orthop. Klinik;
Fortuna Küssnacht am Rigi    O;
Büsslingen (D);
Blotzheim, Tilleul;
Efringen-Kirchen;
Bahnurlaub.de Waldmohr       O;
ECORT Testfiliale 8 WorldspanD;
Stuttgart Zuffenhausen Porsche;
Domodossola 96;
Schopfheim, Feldbergstr/Bühlma;
Lörrach, Suchard;
Schlieren mobile Equipe;
Basel EuroAirport DOMO;
Brombach, Schöpflin-Siedlung;
Viktorsberg;
Kork mobile Equipe;
Zürich HB Depot F Lok;
Brisgi (B);
Stockhard (B);
Bichsel Musikreisen AG       O;
ch-direct Nemesis;
Zürich HB 95;
Fahrnau, Hirscheneck;
Bern DÜ Test D2 - Didok 1.1;
Grattavache, village PAG;
Niederried ZB;
Zürich Tessinerplatz VBZ;
Mambach, Mühlschau;
Zürich Herdern 2 Ent-/Versorg;
Suhr mobile Equipe;
Ludwigshafen BASF (Tor 11);
Bus TRAVYS/tpy;
Saint-Genis-Pouilly François;
Lörrach, Steinenweg;
Bern Tests NWU;
Corcelles NE, Pharmacie TRN;
Haintchen Obere Bachstrasse;
Bad Herrenalb Post;
Bus CJ;
Gelterkinden mobile Equipe;
MBC App;
Bahn RA;
Möggingen (D);
Nyon 95;
Basel RPZ;
Bois-Bougy;
Sierre/Siders 96;
Köln Deutzerfeld SA Lokbereich;
Schopfheim, Schustergasse;
Sallneck Abzweigung;
Switzerland Travel Hongkong;
Rastatt Beinle;
Lörrach, Krankenhaus;
Biel/Bienne RB mobile Equipe;
Forbach Kirschbaumwesen;
Freiburg (D) St. Georgen (FQ);
Grillons Crans-sur-Sierre;
Wies, Stauweiher;
Prato;
Haagen (Baden), Ritterstrasse;
Cypress Creek;
Heerbrugg 95;
Schieranco;
Kembs, Rue des Romains;
Winterthur Winpro AG;
Airolo 96;
Bern-TUP-P2-Dst1;
Buchs SG Unterwerk (SAK);
Mindersdorf (D);
Haintchen Untere Bachstrasse;
Sierre/Siders 95;
Cargiago, Caronio;
Bern T-Systems-TSI 2.4;
Huttingen Abzweigung;
Biberist mobile Equipe G-SR;
Rapperswil SG, Kreuzlipl. BRE;
Amexco Zürich Seefeld;
Wichtrach mobile Equipe;
Pontetto-Roldo;
Intra, ufficio tecnico;
Bern Weyermannshaus mobile Equ;
Eigeltingen (D);
Adligenswil, Widspüel PAG;
Rümlang, Bäuler PAG;
Bahn LEB;
Heidelberg Poststrasse;
Würges Gemeindezentrum;
ECORT Testmigration 1;
Schopfheim, Schlattholzstrass;
Unterseen, Stedtlizentrum STI;
Oberselters Bürgerhaus;
Stockach (D);
Grenzach, Im, Proli (D);
Neuweg, Parc Soleil;
UNO Linie 133, km 6.2;
Schlechtnau;
Rekingen AG 96;
Bern AI/RZ;
Kattenhorn (D);
Mühlingen (D);
Genève-La-Praille équipe mobil;
Bern MCS SVB Bahn;
Orasso, ponte Gurro;
ECORT Testfiliale 7 WorldspanD;
Genève Tourism               O;
Biesendorf (D);
Bernmobil App;
RBC Valais;
Bern Webshop B2C Test 1;
Frick 98;
Unterseen, Manor Farm PAG;
Dombach Siedlung;
Yverdon-les-Bains 94;
Bern MCS B2P Railtour TUP-S;
Schorndorf (Württ) ZOB;
Maximiliansau West;
UNO Linie 445, km 1.8;
Hotelplan Morges MTCH;
ECORT Testfiliale 8 Galileo D;
Lesa, solcio piazza chiesa;
Rorschach 97;
UNO Linie 225, km 75.9;
Payerne, Cube;
Marzell, Katholische Kirche;
Mäder;
St. Gallen ZPG SOB;
Lommiswil, Kirche BSU;
Jonaschlucht-Tunnel;
Höllstein, Neue Strasse;
Schiff URh;
Biel/Bienne 98;
Moudon 94;
ELAZ TMR Martigny-Ville;
Olten-Wiggertal FstZ;
Tegernau, Besengasse;
St. Gallen Haggen 95;
Cosasca, centro;
Lörrach, Hornbrunnenweg;
Zweisimmen MOB;
Rielasingen (D);
Germagnano, staz. ferroviaria;
Millrütte;
ECORT Testfiliale 2 Galileo D;
Lucens, école;
Travedona-Biandronno (FQ);
Brig CCP ESR;
Wolhusen BLS;
Moudon, Sorbiers PAG;
UNO Linie 600, km 177.700;
Todtnauberg, Sternen;
Staad ABB;
Entlebuch Entlenstaldentunnel;
Einsiedeln 95;
Morbio Inferiore, Posta AMSA;
Linthal 98;
Biel-SA Ent-/Versorgung;
Schopfheim, Wiechs Kapellen;
Vernier-Meyrin Cargo équipe mo;
Milano Certosa (FQ);
Milano Porta Garibaldi (FQ);
Chur Ent-/Versorgung;
Pfaffensprung-Tunnel Gurtnelle;
Biel/Bienne SA Lokbereich;
Degerfelden, Hagenbacherhof;
Luzern 94;
vNext-easyRide-SAV;
Lungern ZB;
Gersbach, Ebnet;
webshop B2B TL;
Goglio, villa Gina;
Haldenhof;
fairtiq AAGL;
Lienz, Zollstrasse;
HRG Zürich Fernsehstrasse;
Wiechs, Rebacker;
Steinen, Kandernerstrasse;
Taino-Angera;
ZVV-Ticket-App;
Preglia, mocogna;
Litzelstetten (D);
Chiasso SA settore loc;
Venezia S. Lucia FS 98;
Langenthal mobile Equipe;
Wannweil Polizei;
Koblenz 96;
Einsiedeln 97;
Saint-Louis, Jura;
Bellegarde (Ain) (FQ);
Railbookers London           O;
ZVB PTTS;
Unterjesingen Kreissparkasse;
Trobaso, piazza;
Luzern RailAway TBC RT;
Luzern Change;
TUI Zürich Friesenbergstrasse;
Bern 98;
Rorschach DR;
Gallmannsweil (D);
Mannheim-Friedrichs mob Equipe;
Echandens (B);
Brennero/Brenner squadra mobil;
Marzell, Kaltenbacher Brücke;
Macugnaga, pecetto;
Bern Test Change TUE 1;
Blansingen, Brunnen;
Etzwilen mobile Equipe;
Murten 94;
Domodossola, via Turati;
Couvet, hôpital TRN;
Biel/Bienne 95;
Romanshorn ZPG SOB;
Giosio;
Marzell, Alte Mühle;
Bus ASm;
Bern SBB.CH B2B;
Bassecourt sous-station (BKW);
Basel Bad Bf 98;
St-Aubin NE, Senet TRN;
Rouses Point;
Ceneri;
Puidoux-Chexbres 96;
Endenburg, Schule;
Oberalp;
TUI Zürich Friesenb Events;
Intersoc Bruxelles           O;
Collonges-Fort-l'Ecluse (FQ);
Vallorbe équipe mobile;
Swiss Skicompany Potters Bar O;
St. Gallen Ent-/Versorgung;
Bartenheim, Rue des Lilas;
Honstetten (D);
Steinen, Lörracherstrasse;
UNO Linie 670, km 10.1;
Koblenz mobile Equipe Cargo;
Orasso;
Frutigen Betriebszentrale;
Entlebuch Wilzigentunnel;
Blotzheim, Mairie;
Miesern;
Intra, via Annibale Rosa;
Comano, Studio TV ARL;
Herrenberg Kreiskrankenhaus;
Lyss, Lyssbachpark RBS;
Breisach(Rhein), Weinkeller;
Ditzingen, Bahnhof;
Wiechs bei Steisslingen (D);
Warmbach, Schwimmbad;
Bellach Leihkasse;
Konstanz (via DB);
Heidolsheim Giratoire D424;
Yverdon-les-Bains 97;
Intra, via XXIV Maggio;
BZ OST Winterthur;
ECORT Testfiliale 2 WorldspanD;
Camnago-Lentate (FQ);
Liggeringen (D);
Lausanne-Triage SA entr loc.;
Ludwigshafen Ludwigstrasse;
Sovazza;
Haslach, Bahnhof;
Buchs SG 95;
Carlson Genève Nant;
Kuoni Zürich                 O;
Ostermundigen BLS;
Schiff BSB Fähr;
ECORT Testfiliale 1 Galileo D;
Crystal Holidays Dublin;
Wassen Nord;
Altdorf UR mobile Equipe;
Bern BLS-bls;
Russin;46.1883951301,6.01803590482
Satigny;46.2142272352,6.0376652633
Meyrin, CERN fin des voies;46.2340325992,6.05358030398
La Cure;46.4651499964,6.07356995316
Meyrin, Gravière fin de voie;46.2374684289,6.08314557259
Lancy-Pont-Rouge (CEVA);46.1859599734,6.12494002216
Lancy-Bâtie (bif);46.1898800212,6.1251199976
Genève-La-Praille;46.1831199788,6.12566995547
Genève, rue James-Fazy (bif);46.2056180794,6.13964620439
Genève, Plainpalais nord (bif);46.1981985415,6.14302357782
Genève, Bel-Air (bif);46.2042081188,6.14299704477
Pont-Céard;46.2874099572,6.16265994522
Genève, Gare Eaux-Vives (bif);46.2000135829,6.16494186637
Mies;46.2984888736,6.16765471213
Givrins;46.4288499777,6.20522003134
Le Muids;46.4542999491,6.215430021
La Vuarpillière;46.3989200032,6.21725004083
Chez-le-Maître;46.5976899655,6.21870004504
Nyon Dépôt;46.3864945875,6.23774757316
Essence EP AGIP Gland;46.4163361074,6.26116967184
Gland Ouest;46.4168500129,6.26568001276
12 EP AVJ Les Bioux;46.6159343678,6.26192246255
Essence EP Lecoultre Aubonne;46.5083559477,6.31915808746
12 EP ARCC Gimel;46.5083559477,6.31915808746
Le Pont;46.6686900264,6.32466002961
Bière;46.5374399491,6.33691003409
Pontarlier;46.9170633436,6.34505163148
Vallorbe;46.7124100136,6.37055996437
Essence EP ARCC Aubonne;46.4940255444,6.39281980743
Montricher;46.5963300305,6.39304998921
Allaman;46.4757499672,6.39970002583
Le Day;46.7172900043,6.40050995736
Tuilerie;46.5927999952,6.41421996933
Yens;46.5199599649,6.42731998334
Chardonney-Château;46.5347000006,6.43256004237
Tunnel de Nanchau;46.7289074668,6.44420871097
St-Prex;46.4823099806,6.45589995696
Chigny;46.5160200028,6.47225004014
Les Verrières;46.9053300181,6.4793900422
Ste-Croix;46.8196799592,6.50031003285
Gollion, Arzillier;46.584330004,6.50962057449
Beauregard;46.6734209197,6.51600356759
Lonay B (bif);46.5248099637,6.52432997402
Lausanne-Triage P1;46.5257399813,6.52811006523
Baulmes;46.7889299503,6.5243300456
Les Bayards;46.9087500107,6.52374997051
St-Eloi;46.7205988718,6.53197819102
Denges-Echandens;46.5291299853,6.54050005196
Denges A (bif);46.5307499658,6.54179005321
Lausanne-Triage A/B;46.529799994,6.54396996726
Essence Larag Echandens;46.5339511003,6.54780062111
Bussigny;46.5475900167,6.55181003881
Lausanne-Triage Est;46.5356899821,6.5534700418
Eclépens Nord (bif);46.6587800179,6.55191002485
12 Garage GS Oulens;46.6412966433,6.55858076635
12 Garage GS Mathod;46.7675058553,6.56603595939
Chavornay;46.7100900104,6.56816003276
Renens VD Larges Pièces (embr);46.540099004,6.57446989196
Renens VD;46.5370400069,6.57893005838
Tunnel de Fleurier;46.9093426922,6.57728011027
Renens Centre d’Exploitation;46.5346444431,6.58398199408
Boveresse, temple TRN/Autorvt;46.9161879949,6.59973421013
12 Garage GS Chamblon;46.7787247521,6.60465420921
Les Ripes;46.5921900061,6.60806004415
Lausanne (bif);46.5208800394,6.61602993201
Sc Fiez, Collège;46.8288035571,6.6219000823
Lausanne Centre d'Expl. Ouest;46.5173412369,6.62664195054
Lausanne;46.5167900016,6.62908997197
Lausanne-Flon (m1);46.5201056763,6.63007233673
Lausanne-Flon LEB;46.5204674312,6.6303406038
Lausanne-Flon (LEB);46.5205127782,6.63039205495
Lausanne Est;46.5142000334,6.63443997328
Grandson;46.8062800019,6.64194001718
12 Garage Régie Yverdon;46.7830133209,6.64467446602
Pully-Nord;46.5146799819,6.65798001799
Sugnens;46.6548499671,6.66575995058
Fey;46.6743199781,6.68507998846
Onnens-Bonvillars;46.8325199807,6.68992999974
Les Brenets;47.0672100421,6.70739005006
12 Parcage Concise;46.8513178604,6.71856575207
Le Locle-Frontière;47.0502300402,6.71697004871
Tunnel du col des Roches;47.0498267224,6.71779001438
Les Frêtes, Le Mont;47.0640413664,6.72026507267
Tunnel Fin-de-Lance;46.8526378815,6.72679589812
Vaumarcus, collège;46.8776225349,6.75327465741
Puidoux-Chexbres Gare;46.4945774443,6.76690087879
Gorgier-St-Aubin;46.899070034,6.78102996449
12 EP Faucherre Moudon;46.6608001939,6.79520407015
St-Gingolph (Frontière);46.3931899749,6.80406003616
Chambrelien (cul-de-sac);46.9654299842,6.80870999544
Chambrelien Nord (bif);46.9684199631,6.81355993558
Corseaux-Cornalles;46.4704500128,6.82477002504
12 EP Faucherre Palézieux;46.5409974687,6.83192107141
La Chaux-de-Fonds;47.0986499554,6.82603003103
Palézieux [voie 11-12];46.5417531387,6.83765360765
Planachaux (Croix-de-Culet);46.1691120434,6.84181042968
La Chaux-de-Fonds-Est;47.1034899686,6.83717001191
Lucens;46.7077699987,6.84214003503
Bouveret, école;46.383994347,6.85627003428
13 EP TPC Bouveret;46.3787102408,6.8591210015
Essence Grey TP Bouveret;46.3786924498,6.85916018555
Areuse Littorail;46.9544951883,6.85305684873
13 EP Vuadens Miex;46.3399435118,6.86951159722
St-Légier-Gare;46.470530034,6.87193000779
Le Creux;47.0999399982,6.86988995692
St-Légier-Village;46.4710200359,6.87657003375
Remaufens;46.5238799845,6.87617999845
Auvernier;46.9796399964,6.87771002007
Châtel-St.-Denis nord (bif);46.5270162232,6.89808455201
Pont de Fayot;46.2190199505,6.9037300317
Fontanivent;46.4527300154,6.90232992832
Chantemerle-près-Blonay;46.4616499871,6.90653993693
Belfort Montbéliard TGV-87;47.5858691755,6.89755236234
Romont sous-station;46.6844835311,6.9068699224
Montreux-Collège;46.4360999973,6.91271005168
Lally;46.479209951,6.91403002169
Le Clos TMF;46.4260689919,6.92599587046
Roche VD;46.3586899987,6.92703994358
Cotterd-Le Flon TMF;46.4263097575,6.9275156713
Mont-Fleuri TMF;46.4259386961,6.92901522891
Renan BE;47.1257199528,6.92538002617
Essence EP Landi Payerne;46.8271937764,6.92887553559
Neuchâtel,Place Pury Littorail;46.9894122047,6.92818815883
Essence EP CELSA Romont;46.70424152,6.93490268985
Monthey-Hôpital;46.2518800208,6.94075002417
Versvey Step;46.337978701,6.94137568402
13 EP MOB Collombey-le-Grand;46.2854297811,6.94190134042
Neuchâtel;46.9967300041,6.93570993378
Les Avants;46.4538100322,6.94331993561
Neuchâtel Cargo;46.9989200118,6.9416199445
Collombey;46.2711799763,6.94875003827
Monthey Giovanola (embr);46.2649999555,6.94961999235
Le Châtelard VS;46.060289067,6.95802138156
Aigle, collège du Sillon;46.3168323513,6.95810322024
17 EP TSPG Goumois;47.2613266067,6.95242046053
Monthey Industrie;46.2523116614,6.96220834949
Aigle;46.3168499657,6.96367004295
Corcelles-Nord;46.835259988,6.9602900101
Le Noirmont;47.2236800309,6.95686997071
Aigle-Place-du-Marché;46.3172399937,6.97033993054
Essence Bugnon Torny-le-Grand;46.7707735679,6.966696826
Finhaut;46.0824044203,6.97613107
Sâles;46.6402799695,6.97402998605
13 EP TPC Vérossaz;46.2152370915,6.98042193491
Pont-de-Drapel;46.3198600179,6.98652004307
La Clef;47.1464499872,6.98395999868
Vaulruz-Sud;46.6192100337,6.98996998756
13 Parcage Ollon VD poste TPC;46.2969263338,6.99359346103
Villy;46.2869000453,6.99440004264
Le Trétien;46.1023176281,6.99772622088
13 EP TPC Bex;46.2456811815,6.99683996569
Les Cases;46.4559200009,6.99770995437
Les Paluds;46.229569974,7.00041005231
Chénens;46.7492000137,7.00043002045
La Médettaz;46.1088337027,7.00783909249
Allières;46.4698200322,7.00789000985
Tête d'Aï (télésiège Mayen);46.3653603055,7.00898206339
Scolaire, Cantine;46.2008355883,7.01262045272
Scolaire Les Emmonets, Relais;46.1966388625,7.01372844182
Leysin (Tête d'Aï aval);46.3477701218,7.01761725804
Essence Tamoil Leysin;46.3420188817,7.01837050102
18 Extern Intertours Domdidier;46.8725369113,7.0142728065
Le Bémont;47.2632600197,7.01427006725
Essence EP Paupe Boncourt;47.5021468825,7.01285898842
Les Salines;46.2548399899,7.02763995699
Bévieux;46.258989969,7.03087997925
La Chaux-des-Breuleux;47.2203699779,7.02521004981
Cornaux industrie;47.0378299848,7.03076000043
Fanelwald;47.0092399563,7.03464997592
Cressier NE;47.0519400327,7.03953998521
Les Fontanelles;46.3431300431,7.04544997524
Essence EP Landi Avenches;46.8855237643,7.04313897168
La Tine;46.4671700313,7.04657001407
Gryon-Chalméry;46.2736400031,7.05190999537
Essence TPC Sépey;46.360164842,7.05407829157
Villars-sur-Ollon;46.2962599975,7.05623005716
Essence EP Jubin Courtemaîche;47.4646132339,7.04821548101
Martigny-Croix;46.0866176021,7.05860271114
Scolaire Le Borgeaud;46.0730738768,7.06468357552
12 EP Favre Lugnorre;46.9441714105,7.06116045014
Pré-Petitjean;47.2771200014,7.05882996604
Grolley;46.8319700445,7.06605997171
La Tour-de-Trême Parqueterie;46.6045400365,7.07098998253
Martigny-Expo;46.0973970151,7.07573812001
Gruyères;46.5826099843,7.07324995031
Villars-sur-Ollon Golf;46.3091199533,7.07549004359
Martigny-Bourg CT;46.1043527292,7.08773168003
Porrentruy Sud;47.4178900464,7.08075006227
Les Reussilles;47.224239963,7.08345995602
Broc-Village;46.6040500372,7.09873994652
Ins [Gleis 11];46.9999808411,7.09997500295
Ins Dorf;47.0055799645,7.10680994535
Essence EP Agrola Alle;47.4219480009,7.11573310006
Givisiez Ouest;46.8167576302,7.11968349951
17 EP TSPG Les Genevez;47.253250726,7.12654511325
13 EP MOB Château-d'Oex;46.4742419124,7.13260666886
Vers-l'Eglise;46.3536300296,7.13414003992
Ligerz;47.0837599558,7.13514993123
Muntelier;46.9412100364,7.13804994133
Orsières;46.0279071681,7.14362602057
Sembrancher (bif);46.0764211707,7.14400914011
Sembrancher [voie 1-2];46.0767570484,7.1451706347
La Douay;46.0525861883,7.14871188343
Galmiz;46.9508699781,7.15320000418
Les Granges-Gérignoz;46.4739300463,7.15572997155
13 EP TMR Levron;46.0965088869,7.16185270036
Bonfol;47.4739800069,7.15541002793
Orange;47.2319058533,7.15983875057
Miécourt, école;47.4272709408,7.17542366718
Finsterhennen;47.0298200422,7.17884992993
C-Container 16-2014;46.9746785198,7.19161651159
C-Container 7-2014;46.9746785198,7.19161651159
C-Container 6-2014;46.9746785198,7.19161651159
C-Container 14-2014;46.9746785198,7.19161651159
Kerzers BLS;46.9756499565,7.1916799679
Kerzers Süd (Abzw);46.9737599991,7.19247996251
13 EP Buchard Leytron;46.1806748211,7.20212617056
Gerolfingen;47.0749799889,7.20125000461
Fregiécourt, école;47.4123038869,7.19982513565
La Videmanette (Les Gouilles);46.459705919,7.20459528092
Scolaire Le Châble La Fontain;46.0779598609,7.20938506124
Scolaire Le Châble Parking;46.0791935435,7.20997446363
Fräschels;46.9991199713,7.20604002234
Verbier, Patier;46.0997429463,7.21217210274
Cabane-des-Diabl. (Glacier);46.3399397672,7.21449114558
Riddes;46.1725000031,7.21783999124
Ferenbalm-Gurbrü;46.9540500257,7.21886997999
Fillistorf;46.8658889483,7.22690012661
17 Garage GS Undervelier;47.3020188573,7.22968771346
Tunnel du Vingelz (Vingneule);47.1350744623,7.2305489858
Gümmenen;46.9421699918,7.23440995642
Oldenegg (Olden);46.3512481961,7.23888038008
Chamoson;46.1888399991,7.241090006
Biel/Bienne West;47.1337400259,7.239360037
Nidau;47.1240100379,7.24219004538
Biel/Bienne;47.1328899536,7.2429200566
Souboz, école GS;47.2741694817,7.24377920852
Reuchenette-Péry;47.189729955,7.24702006449
18 PU Autoverkehr, Bargen;47.0413168117,7.25295648874
Biel Madretsch;47.137509986,7.25284001
Pontenet, CFF;47.2386492883,7.25386694084
Biel/Bienne Depot;47.1306631929,7.25456745333
Biel/Bienne Depot Ost;47.1308800353,7.25839004399
Biel/Bienne Ost;47.1366499732,7.25924998621
Bargen;47.0401600034,7.26118004823
Biel Mett;47.144710018,7.27247994751
Gruben;46.4905400323,7.28012994538
Aarberg;47.0445399514,7.2786900431
Rosshäuserntunnel Portal Ost;46.9322378876,7.28910414686
Biel/Bienne Bözingenfeld/Champs-de-Boujean;47.1583899591,7.29460004514
Lyss West (Agl);47.0792399592,7.29852006349
Tortin (Col-de-Chassoure);46.1134914516,7.30347018209
Studen BE;47.1104300276,7.30174998943
Lyss Fulenmatt;47.090819954,7.30892000238
Basse-Nendaz, La Rosablanche;46.1879681893,7.31319880202
17 Garage Steulet Delémont;47.3619626569,7.31381533508
Granois, place de Jeux (scola;46.248457994,7.33314249114
Lanzenhäusern;46.8418299692,7.3471300223
13 Garage Régie Sion;46.2247345448,7.35263032845
Thörishaus Brücke;46.8955485408,7.35169651438
17 Parcage Delémont SAFED;47.3601226896,7.35181698502
Delémont Est;47.3627500059,7.35468998881
Essence Gaz Agrola Delémont;47.3623275855,7.3599197518
Essence EP Jubin Soyhières;47.389504768,7.36880599937
Niederwangen;46.9255000383,7.37644996319
Lengnau Schutzstrecke;47.1856834267,7.38097143671
Roches BE;47.2999783135,7.38204902985
18 PU SteinerBus, Weissenstei;46.9999769871,7.38379242438
Scolaire Etang;46.2633206088,7.3873028757
St. Stephan;46.5051300218,7.40052004765
Bern Stöckacker;46.9463499998,7.40117999666
